kp,ki,init_mode,success,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz,error
0.02,0.05,first,1,900,899.0,-0.02546171742025427,257.0,0.030028368650278914,481.0,-0.005822523222331899,0.007313741763756623,0.009151613379394458,
0.02,0.05625,first,1,900,899.0,-0.02528530698415521,257.0,0.029861309505361255,481.0,-0.005815495563963324,0.007303417347693346,0.009137050615538756,
0.02,0.0625,first,1,900,899.0,-0.02510420137940894,257.0,0.029783599313679687,481.0,-0.0057567861766316675,0.007313660844753882,0.00914533112383785,
0.02,0.06875,first,1,900,899.0,-0.02511848679099593,554.0,0.029778813920664504,481.0,-0.00566276218599171,0.007336015249178411,0.009170619862444331,
0.02,0.075,first,1,900,899.0,-0.025675793381145784,554.0,0.029835539365925534,481.0,-0.005543648820554026,0.007366889734840122,0.009209434557055043,
0.03,0.05,first,1,900,899.0,-0.02545697964527527,257.0,0.030468172262327897,481.0,-0.005793257433053256,0.007328546444696805,0.009167629219314428,
0.03,0.05625,first,1,900,899.0,-0.02527656415413526,257.0,0.030304610026452572,481.0,-0.005783501476417374,0.007318995659747799,0.009152457852974675,
0.03,0.0625,first,1,900,899.0,-0.025090982574731413,257.0,0.030229502317600243,481.0,-0.005720845858963042,0.0073271721133219515,0.009160087868782075,
0.03,0.06875,first,1,900,899.0,-0.025010876691904382,554.0,0.030226564305819714,481.0,-0.0056217074120445965,0.007349009111175286,0.009184711572046507,
0.03,0.075,first,1,900,899.0,-0.025555803835466406,554.0,0.030284500519499602,481.0,-0.005496394557484852,0.00737879442231347,0.009222866348375654,
0.04,0.05,first,1,900,899.0,-0.025441039809070976,257.0,0.030906365935794433,481.0,-0.0057640450526252884,0.007348125195619811,0.009187422810827713,
0.04,0.05625,first,1,900,899.0,-0.025256716544679314,257.0,0.030746573272733002,481.0,-0.00575173131348361,0.007337698669588251,0.009171776081956034,
0.04,0.0625,first,1,900,899.0,-0.02506682539211713,257.0,0.030674423544847507,481.0,-0.005685378240594119,0.007344974101917641,0.009178888568506054,
0.04,0.06875,first,1,900,899.0,-0.024897636062091166,554.0,0.030673771104372527,481.0,-0.005581455824408277,0.007365113609991977,0.009202983281052445,
0.04,0.075,first,1,900,899.0,-0.02543014317616832,554.0,0.03073343653183791,481.0,-0.005450359172454178,0.007394754790403442,0.009240619976352801,
0.05,0.05,first,1,900,899.0,-0.025413650213246264,257.0,0.03134346715537362,481.0,-0.005735300848994651,0.007371850327437583,0.00921114153553973,
0.05,0.05625,first,1,900,899.0,-0.025225535985544667,257.0,0.031187746526688542,481.0,-0.005720631511616503,0.007361355915519408,0.009195166631894035,
0.05,0.0625,first,1,900,899.0,-0.02503152493462002,257.0,0.031118930780773546,481.0,-0.0056508628924745175,0.007366559126912872,0.009201910338681039,
0.05,0.06875,first,1,900,899.0,-0.02483091925306047,257.0,0.031121016316744132,481.0,-0.005542516921173135,0.007386223362884244,0.009225630047010243,
0.05,0.075,first,1,900,899.0,-0.025299960833076174,554.0,0.03118293991871024,481.0,-0.005406082393424327,0.007416889414984617,0.00926291094377194,
0.06,0.05,first,1,900,899.0,-0.025374570277651998,257.0,0.03177997769390206,481.0,-0.005707407470800785,0.007399020945816245,0.009238954507135088,
0.06,0.05625,first,1,900,899.0,-0.02518280320186639,257.0,0.0316286506762653,481.0,-0.005690610466027035,0.007388488058316719,0.009222815057769377,
0.06,0.0625,first,1,900,899.0,-0.024984888963948126,257.0,0.03156356072189226,481.0,-0.005617730072293714,0.0073935221549500905,0.009229357121330715,
0.06,0.06875,first,1,900,899.0,-0.024780480722648157,257.0,0.03156884567539375,481.0,-0.005505345332499356,0.007413414227440322,0.009252876430932712,
0.06,0.075,first,1,900,899.0,-0.025166509257752434,554.0,0.03163355620427577,481.0,-0.005364038066237864,0.007443029214741159,0.009289987098811379,
0.07,0.05,first,1,900,899.0,-0.025323569198871798,257.0,0.03221637673900268,481.0,-0.005680706644903832,0.0074294075390210455,0.009271055004736786,
0.07,0.05625,first,1,900,899.0,-0.025128314562186116,257.0,0.03206978043408082,481.0,-0.00566202753555789,0.0074190985577203905,0.009254933335625461,
0.07,0.0625,first,1,900,899.0,-0.024926743453195233,257.0,0.032008816187110156,481.0,-0.005586354841966568,0.00742527555920105,0.009261462131333406,
0.07,0.06875,first,1,900,899.0,-0.024718864519415185,257.0,0.03201776445632909,481.0,-0.005470326390493163,0.007444377285877745,0.009284979602685707,
0.07,0.075,first,1,900,899.0,-0.025031159834416616,554.0,0.03208578354451763,481.0,-0.005324618523341318,0.007473643703867205,0.009322132747069223,
0.08,0.05,first,1,900,899.0,-0.025260432540943345,257.0,0.03265311921170966,481.0,-0.005655487035143292,0.007464759713296372,0.009307662779139402,
0.08,0.05625,first,1,900,899.0,-0.025061885311119525,257.0,0.03251159756770594,481.0,-0.005635179752234709,0.0074532595335474365,0.00929176319808383,
0.08,0.0625,first,1,900,899.0,-0.024856941459290294,257.0,0.03245515983937519,481.0,-0.005557038578223317,0.007459977932941065,0.009298491552500987,
0.08,0.06875,first,1,900,899.0,-0.0246459675525057,257.0,0.03246822563528706,481.0,-0.005437760769253508,0.007478300708343188,0.009322233184656217,
0.08,0.075,first,1,900,899.0,-0.02489541608026613,554.0,0.032540062921153634,481.0,-0.005288118543469444,0.007508039300621391,0.009359672904171553,
