kp,ki,success,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz,error
0.04,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03158483655642641,481.0,-0.005504281631232288,0.007861926620057766,0.010258349478783495,
0.04,0.05,1,900,899.0,-0.06329666715968463,2.0,0.030893316687752304,481.0,-0.005761969194226779,0.007664242317477466,0.009982961093598893,
0.04,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03066080551291872,481.0,-0.005683866214849509,0.007606485273244123,0.00988542899172978,
0.05,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03201017444973253,481.0,-0.005477229335342226,0.007880782037495612,0.010271815584803043,
0.05,0.05,1,900,899.0,-0.06329666715968463,2.0,0.03133002036493249,481.0,-0.005733287598221892,0.007685791943396707,0.009997870106764404,
0.05,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03110490484591999,481.0,-0.0056494261533535095,0.007627168096219032,0.009900898139280438,
0.06,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03243447618121564,481.0,-0.005450790736325484,0.007904257014452638,0.010289505942375621,
0.06,0.05,1,900,899.0,-0.06329666715968463,2.0,0.0317661294891991,481.0,-0.0057054568951731,0.0077113245770750105,0.010017400242477457,
0.06,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03154912307456126,481.0,-0.005616368503862379,0.00765273805757892,0.009921385846436119,
0.08,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03328169531722214,481.0,-0.005400916896247665,0.007960937583966491,0.010338349699886252,
0.08,0.05,1,900,899.0,-0.06329666715968463,2.0,0.03263846055135744,481.0,-0.0056536600807222115,0.007775045200013707,0.010071278410464374,
0.08,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.032439886836006515,481.0,-0.00555582230784557,0.00771608888681216,0.0099785744580716,
0.1,0.0375,1,900,899.0,-0.06329666715968463,2.0,0.03412978116294596,481.0,-0.005356544240890937,0.008037574200290254,0.010406731173486073,
0.1,0.05,1,900,899.0,-0.06329666715968463,2.0,0.03351379838484103,481.0,-0.005608603422098124,0.00785184742467219,0.010146838113843459,
0.1,0.0625,1,900,899.0,-0.06329666715968463,2.0,0.03333659979016357,481.0,-0.00550425978779856,0.007793169345023357,0.010059720331059906,
