hour,dispatch,label,success,error,dispatch_json,freq_csv,freq_png,dispatch_seconds,tds_seconds,total_seconds,init_mode_used,retry_note,samples,t_end_s,min_hz,t_min_s,max_hz,t_max_s,final_hz,abs_mean_hz,rms_hz
7,3,h7d3,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h7d3_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h7d3_frequency.csv,,0.584660041029565,67.41315416700672,67.99979087500833,first,,900,899.0,-0.040366712158088625,615.0,0.01778156883438964,890.0,-0.02258309635391198,0.010676285630713293,0.013128715300067217
7,2,h7d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h7d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h7d2_frequency.csv,,0.5430627499590628,68.04165291698882,68.58694795804331,first,,900,899.0,-0.033834705759048234,827.0,0.0260187519851085,98.0,0.003026509325620985,0.009158289193201451,0.01134306555484941
8,1,h8d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h8d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h8d1_frequency.csv,,0.4674285830114968,67.04486683401046,67.51428758399561,first,,900,899.0,-0.03653674138359486,782.0,0.021741445841327867,585.0,-0.00509692358295899,0.008946109130121076,0.011043420435935888
11,1,h11d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h11d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h11d1_frequency.csv,,0.5452525830478407,66.50175816600677,67.05039225000655,first,,900,899.0,-0.02392574607418929,66.0,0.034428289174015525,726.0,-0.001618612671494546,0.00880104392949288,0.010915170851949216
11,2,h11d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h11d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h11d2_frequency.csv,,0.5539178749895655,66.54457483399892,67.10053450003034,first,,900,899.0,-0.018904833713526692,376.0,0.03922759287803945,501.0,-0.012933709714038066,0.008645311939010665,0.010772702043720288
6,0,h6d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h6d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h6d0_frequency.csv,,0.4549617919838056,67.39888387499377,67.85631975001888,first,,900,899.0,-0.029532594930561373,622.0,0.034597620368082005,268.0,-0.015067650856441794,0.008399906147859734,0.010476523714893996
8,2,h8d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h8d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h8d2_frequency.csv,,0.5325474159908481,67.87692320899805,68.41170108300867,first,,900,899.0,-0.03977230000751453,314.0,0.02505975486258194,704.0,0.002254099057368286,0.008358228106245527,0.010549549699265814
14,0,h14d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h14d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h14d0_frequency.csv,,0.5002506250166334,66.14040129096247,66.64440804201877,first,,900,899.0,-0.03226659350418881,221.0,0.026546597269589967,310.0,-0.016025228631528776,0.008265619639324713,0.01022671028489635
6,2,h6d2,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h6d2_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h6d2_frequency.csv,,0.6101345409988426,68.33171800000127,68.94499304099008,first,,900,899.0,-0.020540764532950284,777.0,0.029983853313941822,507.0,0.0011638152891801923,0.008160384803898949,0.010067982956039218
9,1,h9d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h9d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h9d1_frequency.csv,,0.5266164999920875,67.18351604201598,67.71247354097432,first,,900,899.0,-0.027024070340371242,20.0,0.03673976477593932,220.0,0.0006415328013886779,0.008120176686592491,0.010184775080459013
5,1,h5d1,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h5d1_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h5d1_frequency.csv,,0.47916645801160485,69.06334183301078,69.54476025002077,first,,900,899.0,-0.022662980891337003,9.0,0.038131878148570664,888.0,0.006202483113555424,0.0080910907822726,0.010058799214528041
8,0,h8d0,1,,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h8d0_dispatch.json,/Applications/openandes/demo/demo/deadband/results/day96_agc4_kp0p05_ki0p0625_first/h8d0_frequency.csv,,0.5507105000433512,66.43424062494887,66.9885304159834,first,,900,899.0,-0.030578653393324995,613.0,0.024485489409431516,794.0,0.0003854725980145801,0.008053779073845569,0.010082098443506004
