label,kp,ki,min_hz,max_hz,mean_abs_hz,gt_pos_0.036,lt_neg_0.036,abs_gt_0.036
h8d0,0.01,0.001,-0.1671627379510498,0.0008023192948014,0.0902439557001172,0,809,809
h5d1,0.01,0.001,-0.0262209882828301,0.1184781965519565,0.0307313950867199,319,0,319
h12d0,0.01,0.001,-0.0289679963942846,0.0338986067586466,0.0077966765951972,0,0,0
h8d0,0.05,0.005,-0.083471506658701,0.0026199794723869,0.041631555074977,0,603,603
h5d1,0.05,0.005,-0.0244032537570504,0.0883042348860874,0.0232817343448987,271,0,271
h12d0,0.05,0.005,-0.0294941624390054,0.0320041143397453,0.0073814696374862,0,0,0
h8d0,0.05,0.01,-0.0572534406626834,0.0052841289382765,0.023984243956907455,0,89,89
h5d1,0.05,0.01,-0.0228062596114653,0.07087142011859,0.01835255183966912,161,0,161
h12d0,0.05,0.01,-0.0288835293950828,0.0335806314897446,0.007021313811775964,0,0,0
